first_party_name,first_party,device,third_party,third_party_name,Tracking/Other,Category,consent,subscription
Copilot,copilot.microsoft.com,browser,copilot.fun,First-party,,,Accept All,Premium
Copilot,copilot.microsoft.com,browser,copilot.microsoft.com,First-party,,,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,copilot.microsoft.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,copilot.microsoft.com,First-party,,,Accept All,Premium
Copilot,copilot.microsoft.com,browser,df.cfp.microsoft.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,eu-mobile.events.data.microsoft.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,fonts.gstatic.com,Google API,,,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,fonts.gstatic.com,Google API,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,fonts.gstatic.com,Google API,,,Accept All,Premium
Copilot,copilot.microsoft.com,browser,fpt.live.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,graph.microsoft.com,First-party,,,Accept All,Free
Copilot,copilot.microsoft.com,browser,lh3.googleusercontent.com,Google User Content,Tracking,CMP,Accept All,Premium
Copilot,copilot.microsoft.com,browser,login.live.com,First-party,Tracking,Authentication,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,login.live.com,First-party,Tracking,Authentication,Accept All,Free
Copilot,copilot.microsoft.com,browser,login.live.com,First-party,Tracking,Authentication,Accept All,Premium
Copilot,copilot.microsoft.com,browser,login.microsoftonline.com,First-party,Tracking,Authentication,Accept All,No Auth
Copilot,copilot.microsoft.com,browser,login.microsoftonline.com,First-party,Tracking,Authentication,Accept All,Free
Copilot,copilot.microsoft.com,browser,login.microsoftonline.com,First-party,Tracking,Authentication,Accept All,Premium
Copilot,copilot.microsoft.com,browser,logincdn.msftauth.net,First-party,Tracking,Authentication,Accept All,Free
